,Long,Lat,GDP_PPP,population,nightlight
79,18.373749928328678,-33.042082980093994,160485.11,7671.8677,0.30434182
80,18.373749928328678,-33.208749646094006,21731.074,793.0744,0.07048961
81,18.373749928328678,-33.375416312094,389510.12,14269.106,0.3285958
82,18.540416594328683,-30.208749658094,290.25406,55.96394,0.0229943
83,18.540416594328683,-30.375416324093997,771.1344,22.806936,0.019104
84,18.540416594328683,-30.708749656094,141.85106,13.913824,0.01922733
85,18.540416594328683,-30.875416322094004,46.80158,21.963858,0.023072736
86,18.540416594328683,-31.208749654094,191.6262,2.6444256,0.031932797
87,18.540416594328683,-31.375416320094,325.40942,11.600615,0.031464074
88,18.540416594328683,-31.542082986093998,453356.1,210.52065,0.047949616
89,18.540416594328683,-31.708749652093992,443740.97,32374.002,0.6749391
